ProductID,LocationID,Location Name,Product Name,Product Barcode,Product Description,Product Order Code,Sale Price,Category Name,Current Stock,Min Stock,Max Stock,Current Volume,On Order,Alerts,Cost Price, Supplier Name,Unit of Sale,Volume of Sale,Unit of Purchase,Volume of Purchase
3585849,17288,Markham House,Houseplant Pest Killer 300ml,5012042052034,Vitax Houseplant Pest Killer 300ml,D65551,2.35000,PESTICIDES,,,,,,n,1.51700,,,,,
3585850,10028,WRHS Trading Post Main Store,Py Bug Killer RTU 750ml,5012042285012,Vitax Py Bug Killer RTU 750ml,D22486,6.85000,PESTICIDES,8.00000,0.00000,0.00000,0,0,n,4.44800,,,,,
3585850,17288,Markham House,Py Bug Killer RTU 750ml,5012042285012,Vitax Py Bug Killer RTU 750ml,D22486,6.85000,PESTICIDES,,,,,,n,4.44800,,,,,
3585859,10028,WRHS Trading Post Main Store,Weedfree Path&Patio RTU,5012042020125,Vitax Weedfree Path & Patio Weedkiller RTU 750ml,D64785,4.25000,WEED KILLERS,5.00000,0.00000,0.00000,0,0,n,2.75900,,,,,
3585859,17288,Markham House,Weedfree Path&Patio RTU,5012042020125,Vitax Weedfree Path & Patio Weedkiller RTU 750ml,D64785,4.25000,WEED KILLERS,,,,,,n,2.75900,,,,,
3585860,10028,WRHS Trading Post Main Store,Weedfree Path & Patio 1 ltr,5012042020132,Vitax Weedfree Path & Patio Weedkiller 1 litre,D64783,13.70000,WEED KILLERS,4.00000,0.00000,0.00000,0,0,n,8.89700,,,,,
3585860,17288,Markham House,Weedfree Path & Patio 1 ltr,5012042020132,Vitax Weedfree Path & Patio Weedkiller 1 litre,D64783,13.70000,WEED KILLERS,,,,,,n,8.89700,,,,,
3585864,10028,WRHS Trading Post Main Store,Vitax Whitefly Traps x7,5012042010416,Vitax Whitefly Traps pack of 7,D49475,6.90000,TRAPS,8.00000,0.00000,0.00000,0,0,n,4.48300,,,,,
3585864,17288,Markham House,Vitax Whitefly Traps x7,5012042010416,Vitax Whitefly Traps pack of 7,D49475,6.90000,TRAPS,,,,,,n,4.48300,,,,,
3585865,10028,WRHS Trading Post Main Store,Winter Tree Wash 500ml,5012042010508,Vitax Winter Tree Wash 500ml,D49485,8.50000,PESTICIDES,14.00000,0.00000,0.00000,0,0,n,5.51700,,,,,
