productid,category,page,image,show,info
7042732,SEEDS FLOWER,"Seed, flower",pics/seedf/EschscholtziaJellyBeans.png,1,Eschscholtzia Jelly Beans
3585926,DISCONTINUED,,pics/seedf/FieldAndHedgerowMixture.png,0,Field & Hedge-Row Mix
3585975,SEEDS FLOWER,"Seed, flower",pics/seedf/GazaniaSplendensMixed.png,1,Large flowered russet shades Good cut flower
3585912,SEEDS FLOWER,"Seed, flower",pics/seedf/GeraniumCountryGarden.png,1,Wide colour range Flowers all summer
3585927,SEEDS FLOWER,"Seed, flower",pics/seedf/GerberaJamesoniiHybrids.png,1,Large single flowers May-August Good cut flow...
3585921,SEEDS FLOWER,"Seed, flower",pics/seedf/GodetiaDreamDoubleMixed.png,1,Godetia Dream Double Mixed
3585929,SEEDS FLOWER,"Seed, flower",pics/seedf/GourdOrnamentalMixed.png,1,Many varieties
3585913,SEEDS FLOWER,"Seed, flower",pics/seedf/GypsophilaElegansCoventGarden.png,1,Multiflowered white Wispy stems Ideal for flower arrangement
9033388,SEEDS FLOWER,"Seed, flower",pics/seedf/HardyAnnualBeeMix.png,1,Hardy Annuals Bee Mix
7042734,SEEDS FLOWER,"Seed, flower",pics/seedf/HardyAnnualsDwarfMixed.png,1,Hardy Annuals Dwarf Mixed
7042735,SEEDS FLOWER,"Seed, flower",pics/seedf/HardyAnnualsTallCutMixed.png,1,Hardy Annuals Tall Cut Mix
3585895,SEEDS FLOWER,"Seed, flower",pics/seedf/HelianthusBambino.png,1,Single yellow flower dark centre Non branching 40cm (16in) high
3585923,SEEDS FLOWER,"Seed, flower",pics/seedf/HelianthusEarthwalker.png,1,Dark centred brown and terracotta flowers Tall strong stems Multi-headed
3585967,SEEDS FLOWER,"Seed, flower",pics/seedf/HelianthusRedSun.png,1,Striking dark red flower Tall stem 1.5m (5ft)
3585980,SEEDS FLOWER,"Seed, flower",pics/seedf/HelianthusSunflowerRingofFire.png,1,Bi-coloured red gold Good cut flower
3585930,SEEDS FLOWER,"Seed, flower",pics/seedf/HelianthusTeddyBears.png,1,Dwarf habit Medium fluffy yellow double blooms
3585931,SEEDS FLOWER,"Seed, flower",pics/seedf/HollyhockChatersDoubleMixed.png,1,Large double flowers Many shades
3585932,SEEDS FLOWER,"Seed, flower",pics/seedf/HollyhockChatersRosePink.png,1,Long spikes Double flowers
3585933,SEEDS FLOWER,"Seed, flower",pics/seedf/ImpatiensLittleLizzie.png,1,Impatiens Little Lizzie
3585934,SEEDS FLOWER,"Seed, flower",pics/seedf/ImpatiensSultaniScarlet.png,1,Impatiens Sultani Scarlet
7042738,SEEDS FLOWER,"Seed, flower",pics/seedf/IpomoeaPurpureaLazyLuxeMixed.png,1,Ipomoea Purpurea Lazy Luxe Mixed
9033389,SEEDS FLOWER,"Seed, flower",pics/seedf/KnautiaMeltonPastels.png,1,Knautia Melton Pastels
3585936,SEEDS FLOWER,"Seed, flower",pics/seedf/LarkspurSublimeMix.png,1,Strong stems Double flowers Ideal for drying
7042740,SEEDS FLOWER,"Seed, flower",pics/seedf/LathyrusLatifolius.png,1,Lathyrus Everlasting Mix
3585920,SEEDS FLOWER,"Seed, flower",pics/seedf/LimnanthesDouglasii.png,1,Poached egg plant White edged yellow flowers
3585902,SEEDS FLOWER,"Seed, flower",pics/seedf/LobeliaErinusCompactaCambridgeBlue.png,1,Pale blue
3585937,SEEDS FLOWER,"Seed, flower",pics/seedf/LobeliaErinusCompactaCrystalPalace.png,1,Deep blue Dark foliage
3585957,SEEDS FLOWER,"Seed, flower",pics/seedf/LobeliaPendulaCascadeMixed.png,1,Lobelia Pendula Cascade Mixed
3585939,SEEDS FLOWER,"Seed, flower",pics/seedf/LupinGalleryMixed.png,1,Dwarf form Long packed flower spikes Good in pots
3585940,SEEDS FLOWER,"Seed, flower",pics/seedf/LupinRussellHybridsMixed2.png,1,Lupin Russells Hybrid
3585900,SEEDS FLOWER,"Seed, flower",pics/seedf/MarigoldBoyOBoy.png,1,Very dwarf form Large bright flowers
3585914,SEEDS FLOWER,"Seed, flower",pics/seedf/MarigoldCrackerjack.png,1,Medium tall Large double flowers Wide colour range
9033391,SEEDS FLOWER,"Seed, flower",pics/seedf/MarigoldFrenchAlumiaVanillaCream.png,1,Marigold Alumia Vanilla
7042742,SEEDS FLOWER,"Seed, flower",pics/seedf/MarigoldFrenchDurangoMixed.png,1,Marigold French Durango Mixed
3585935,SEEDS FLOWER,"Seed, flower",pics/seedf/MarigoldIncaF1Blended.png,1,Very early compact Ideal for pots Large bright double flowers
3585946,SEEDS FLOWER,"Seed, flower",pics/seedf/MarigoldMrMajestic.png,1,Unique variety Red & yellow striped flowers
3585973,SEEDS FLOWER,"Seed, flower",pics/seedf/MarigoldSpanishBrocade.png,1,Sturdy quick growing variety
